ID,n,n_outer,finite_outer,r2_outer,frac_used,A,A_err,B,B_err,alpha_log,alpha_log_err,cC2,cC2_err,alpha_Ric,alpha_Ric_err
GC3109,25,3,1.00,1.00,0.35,187.73712005320394,1.6993405947726246,-1064.9453662231729,13.505154782183299,423.3968038049132,6.562533036774662,93.86856002660197,0.8496702973863123,423.3968038049132,6.562533036774662
GC3198,43,3,1.00,0.96,0.35,5292.37789952314,21.786038147912507,1220198.9160244777,6886.381139641303,751399.0351920214,3882.5299698530894,2646.18894976157,10.893019073956253,751399.0351920214,3882.5299698530894
GC3521,41,3,1.00,0.98,0.35,161.26097934804775,0.08526727329736951,-1497.0229261675588,0.5901326277046588,2673.448102789652,1.9651777840450895,80.63048967402388,0.042633636648684754,2673.448102789652,1.9651777840450895
GC3726,12,3,1.00,1.00,0.35,1145.828499269903,1.9279780529627568,49369.60183225325,186.1161460592394,67968.14961307264,172.4109274583337,572.9142496349515,0.9639890264813784,67968.14961307264,172.4109274583337
GC3741,21,3,1.00,0.79,0.35,171.91045819556047,1.0809411258263106,-786.8189213403705,9.044892224322481,276.5191140941693,4.606718160062948,85.95522909778023,0.5404705629131553,276.5191140941693,4.606718160062948
GC3769,12,3,1.00,0.99,0.35,2516.772089970161,6.867097677352191,183407.11574719875,1105.3472321370475,185651.35210202902,812.5925576500853,1258.3860449850804,3.4335488386760953,185651.35210202902,812.5925576500853
GC3877,13,3,1.00,0.99,0.35,2.130957874065336,0.042562812040292095,-52.744496374844445,0.4764880712172026,42.303313577187865,0.4635658780993277,1.065478937032668,0.021281406020146047,42.303313577187865,0.4635658780993277
GC3893,10,3,1.00,0.95,0.35,189.70975905234954,0.21586551901600418,-1263.4926074895864,0.48981411373314293,3825.0027017884017,6.242791673670365,94.85487952617477,0.10793275950800209,3825.0027017884017,6.242791673670365
GC3917,17,3,1.00,1.00,0.35,269.7564264064765,0.5468910647120101,-2652.7395962232104,4.6793952809974595,3985.3774830319226,10.73135017798983,134.87821320323826,0.27344553235600505,3985.3774830319226,10.73135017798983
GC3949,7,3,1.00,0.98,0.35,6.806242287245358,0.002812822770796083,-48.37020720109258,0.021779844497708572,20.04858160556817,0.010127535448238913,3.403121143622679,0.0014064113853980416,20.04858160556817,0.010127535448238913
GC3953,8,3,1.00,0.98,0.35,25.639742965407837,0.017263375574509666,-275.03349838684255,0.1605951013082364,482.76419380440717,0.32450981730058903,12.819871482703919,0.008631687787254833,482.76419380440717,0.32450981730058903
GC3972,10,3,1.00,0.64,0.35,30.562134659898273,0.042257059155113484,-217.64616050530654,0.41387897484067887,97.10079022175489,0.2545188400160001,15.281067329949137,0.021128529577556742,97.10079022175489,0.2545188400160001
